time,pitch_desired,ang_pitch,angvel_pitch,u2
1.86,-0.385743301,-0.175599466,-3.767827645,0.134010249
1.88,-0.39192418,-0.244255506,-3.097776398,0.172939186
1.9,-0.373479021,-0.297564075,-2.233080467,0.201001718
1.92,-0.331566801,-0.332175598,-1.228071878,0.216434572
1.94,-0.26882102,-0.345915307,-0.145899016,0.218268047
1.96,-0.189184225,-0.337919885,0.945441217,0.206386937
1.98,-0.09766029,-0.308691714,1.977375902,0.181537777
2,6.591E-15,-0.260067307,2.885064786,0.145281931
2.02,0.09766029,-0.195101915,3.61147444,0.099897486
2.04,0.189184225,-0.117877552,4.110961872,0.048236116
2.06,0.26882102,-0.033246509,4.352142451,-0.006456107
2.08,0.331566801,0.053473535,4.319861914,-0.06074267
2.1,0.373479021,0.13683364,4.016148565,-0.111212547
2.12,0.39192418,0.211595984,3.460085831,-0.15469453
2.14,0.385743301,0.273062974,2.68661318,-0.188456488
2.16,0.355324753,0.317372413,1.744330742,-0.210377031
2.18,0.302579843,0.341740176,0.692445587,-0.219078811
2.2,0.230822729,0.344635147,-0.402948469,-0.214015065
2.22,0.144562174,0.325875425,-1.473023792,-0.195503964
2.24,0.049218246,0.286639751,-2.450543613,-0.164708631
2.26,-0.049218246,0.229393447,-3.274086765,-0.123564048
2.28,-0.144562174,0.157733509,-3.891907005,-0.074655482
2.3,-0.230822729,0.076162595,-4.265184415,-0.021056037
2.32,-0.302579843,-0.010193895,-4.370464601,0.033866436
2.34,-0.355324753,-0.095909865,-4.201132423,0.086660956
2.36,-0.385743301,-0.175599466,-3.767827645,0.134010249
2.38,-0.39192418,-0.244255506,-3.097776398,0.172939186
2.4,-0.373479021,-0.297564075,-2.233080467,0.201001718
2.42,-0.331566801,-0.332175598,-1.228071878,0.216434572
2.44,-0.26882102,-0.345915307,-0.145899016,0.218268047
2.46,-0.189184225,-0.337919885,0.945441217,0.206386937
2.48,-0.09766029,-0.308691714,1.977375902,0.181537777
2.5,7.88997E-15,-0.260067307,2.885064786,0.145281931
2.52,0.09766029,-0.195101915,3.61147444,0.099897486
2.54,0.189184225,-0.117877552,4.110961872,0.048236116
2.56,0.26882102,-0.033246509,4.352142451,-0.006456107
2.58,0.331566801,0.053473535,4.319861914,-0.06074267
2.6,0.373479021,0.13683364,4.016148565,-0.111212547
2.62,0.39192418,0.211595984,3.460085831,-0.15469453
2.64,0.385743301,0.273062974,2.68661318,-0.188456488
2.66,0.355324753,0.317372413,1.744330742,-0.210377031
2.68,0.302579843,0.341740176,0.692445587,-0.219078811
2.7,0.230822729,0.344635147,-0.402948469,-0.214015065
2.72,0.144562174,0.325875425,-1.473023792,-0.195503964
2.74,0.049218246,0.286639751,-2.450543613,-0.164708631
2.76,-0.049218246,0.229393447,-3.274086765,-0.123564048
2.78,-0.144562174,0.157733509,-3.891907005,-0.074655482
2.8,-0.230822729,0.076162595,-4.265184415,-0.021056037
2.82,-0.302579843,-0.010193895,-4.370464601,0.033866436
2.84,-0.355324753,-0.095909865,-4.201132423,0.086660956
2.86,-0.385743301,-0.175599466,-3.767827645,0.134010249
2.88,-0.39192418,-0.244255506,-3.097776398,0.172939186
2.9,-0.373479021,-0.297564075,-2.233080467,0.201001718
2.92,-0.331566801,-0.332175598,-1.228071878,0.216434572
2.94,-0.26882102,-0.345915307,-0.145899016,0.218268047
2.96,-0.189184225,-0.337919885,0.945441217,0.206386937
2.98,-0.09766029,-0.308691714,1.977375902,0.181537777
3,1.05841E-14,-0.260067307,2.885064786,0.145281931
3.02,0.09766029,-0.195101915,3.61147444,0.099897486
3.04,0.189184225,-0.117877552,4.110961872,0.048236116
3.06,0.26882102,-0.033246509,4.352142451,-0.006456107
3.08,0.331566801,0.053473535,4.319861914,-0.06074267
3.1,0.373479021,0.13683364,4.016148565,-0.111212547
3.12,0.39192418,0.211595984,3.460085831,-0.15469453
3.14,0.385743301,0.273062974,2.68661318,-0.188456488
3.16,0.355324753,0.317372413,1.744330742,-0.210377031
3.18,0.302579843,0.341740176,0.692445587,-0.219078811
3.2,0.230822729,0.344635147,-0.402948469,-0.214015065
3.22,0.144562174,0.325875425,-1.473023792,-0.195503964
3.24,0.049218246,0.286639751,-2.450543613,-0.164708631
3.26,-0.049218246,0.229393447,-3.274086765,-0.123564048
3.28,-0.144562174,0.157733509,-3.891907005,-0.074655482
3.3,-0.230822729,0.076162595,-4.265184415,-0.021056037
3.32,-0.302579843,-0.010193895,-4.370464601,0.033866436
3.34,-0.355324753,-0.095909865,-4.201132423,0.086660956
